BIGRAMS,SCORES
"('about', 'to')",0.002828148394609882
"('to', 'get')",0.008513513513513513
"('get', 'treated')",0.00032637075718015666
"('treated', 'and')",0.0003399048266485384
"('and', 'scared')",0.0007392643156007173
"('scared', 'i')",0.0009495649694501018
"('i', 'like')",0.0022668693663649357
"('like', 'sherman')",0.0006902014805066623
"('sherman', 'manhood')",0.0003399048266485384
"('manhood', 'too')",0.0003399626041135475
"('too', 'i')",0.0042643923240938165
"('i', 'had')",0.006193425440686041
"('had', 'one')",0.00033195020746887966
"('one', 'yesterday')",0.00033305578684429644
"('yesterday', 'worked')",0.00033886818027787193
"('worked', 'on')",0.00033967391304347825
"('on', 'my')",0.008759580791490694
"('my', 'car')",0.0011894142134998512
"('car', 'after')",0.0003390405153415833
"('after', 'work')",0.000841467519353753
"('work', 'showering')",0.00033003300330033004
"('showering', 'then')",0.0003399626041135475
"('then', 'going')",0.0006681142475363287
"('going', 'to')",0.019265601844228552
"('to', 'bed')",0.003918918918918919
"('bed', 'sooooooooooo')",0.00033664366268305
"('sooooooooooo', 'tired')",0.0007803626041135475
"('tired', 'sparrow')",0.0007779527426160337
"('sparrow', 'signing')",0.0003399626041135475
"('signing', 'out')",0.0003399048266485384
"('out', 'it')",0.0006567066163191594
"('it', 'cowboy')",0.0002954646181119811
"('cowboy', 'up')",0.0003399048266485384
"('up', 'it')",0.0003239915762190183
"('it', 'actually')",0.00044319692716797166
"('actually', 'we')",0.00033840947546531303
"('we', 'start')",0.0004932587964485367
"('start', 'this')",0.00033852403520649965
"('this', 'afternoon')",0.0016414970453053185
"('afternoon', 'i')",0.0006779661016949153
"('i', 'will')",0.004645069080514531
"('will', 'try')",0.0004967709885742673
"('try', 'to')",0.0018606224627875508
"('to', 'have')",0.003108108108108108
"('have', 'something')",0.0004771751232702402
"('something', 'by')",0.00033698399326032014
"('by', 'wed')",0.0003350644999162339
"('wed', 'it')",0.00033973161202649905
"('it', 'will')",0.003250110799231792
"('will', 'be')",0.0077827454876635204
"('be', 'a')",0.004050550874918989
"('a', 'slow')",0.00028772838440512156
"('slow', 'process')",0.00033961623365596876
"('process', 'of')",0.0003398470688190314
"('of', 'collecting')",0.000299356383774884
"('collecting', 'many')",0.0003399626041135475
"('many', 'on')",0.00033909799932180403
"('on', 'sac')",0.00031284217112466763
"('sac', 'www')",0.0003397893306150187
"('www', 'giddy')",0.0004903112628561794
"('giddy', 'not')",0.0004930626041135475
"('not', 'all')",0.00045242044940431306
"('all', 'vote')",0.0003223726627981947
"('vote', 'for')",0.0005094243504839531
"('for', 'you')",0.005692307692307693
"('you', 'co')",0.0002981070204203309
"('co', 'we')",0.0003399048266485384
"('we', 'love')",0.0014589979940808945
"('love', 'you')",0.0057330696531316784
"('you', 'so')",0.0019376956327321509
"('so', 'much')",0.007159904534606206
"('much', 'what')",0.00033405712376816435
"('what', 'ever')",0.0003289473684210526
"('ever', 'you')",0.00033823778116015557
"('you', 'do')",0.0022358026531524816
"('do', 'have')",0.00048638132295719845
"('have', 'a')",0.012565611579449657
"('a', 'good')",0.006914288649115235
"('good', 'day')",0.002391619512195122
"('day', 'i')",0.0026109660574412533
"('i', 'love')",0.011356290185802762
"('love', 'knitpicks')",0.0009656851389117213
"('knitpicks', 'sorry')",0.0004171626041135475
"('sorry', 'not')",0.00041339095646327113
"('not', 'my')",0.0012064545317448348
"('my', 'force')",0.0002973535533749628
"('force', 'ask')",0.0003398470688190314
"('ask', 'me')",0.00033950093362756747
"('me', 'about')",0.00047445832674363435
"('about', 'the')",0.002994510064881051
"('the', 'day')",0.0028767123287671234
"('day', 'and')",0.0011422976501305484
"('and', 'i')",0.012851165570830842
"('i', 'can')",0.010838494521200571
"('can', 'answer')",0.0003287851389117212
"('answer', 'getting')",0.00033921302578018993
"('getting', 'ready')",0.0030457637583892615
"('ready', 'for')",0.0042469915188376416
"('for', 'church')",0.00046153846153846153
"('church', 'and')",0.001017293997965412
"('and', 'summed')",0.00029886431560071725
"('summed', 'i')",0.0003398470688190314
"('can', 'not')",0.002465888541837909
"('not', 'watch')",0.0007540340823405218
"('watch', 'raft')",0.0003372112628561794
"('raft', 'who')",0.0003398470688190314
"('who', 'djokovic')",0.0003363605785401951
"('djokovic', 'live')",0.0003399626041135475
"('live', 'i')",0.0005070993914807302
"('i', 'all')",0.007741781800857551
"('all', 'settle')",0.00048355899419729207
"('settle', 'for')",0.0006796941376380628
"('for', 'dr')",0.0003076923076923077
"('dr', 'i')",0.0003397893306150187
"('i', 'suppose')",0.0004764173415912339
"('suppose', 'up')",0.00033973161202649905
"('up', 'early')",0.0012959663048760731
"('early', 'tomorrow')",0.0006760182524928173
"('tomorrow', 'last')",0.0003336113427856547
"('last', 'open')",0.00033433634236041456
"('open', 'home')",0.00033909799932180403
"('home', 'goodnight')",0.000333667000333667
"('goodnight', 'needs')",0.00033927056827820186
"('needs', 'to')",0.001864406779661017
"('to', 'shake')",0.0005833054054054054
"('shake', 'this')",0.0005178048266485384
"('this', 'gloomy')",0.00048139940906106364
"('gloomy', 'feeling')",0.0003655893306150187
"('feeling', 'maybe')",0.0004654388392103931
"('maybe', 'it')",0.00033858134416793635
"('it', 'is')",0.028216871029694193
"('is', 'the')",0.004304778303917348
"('the', 'rain')",0.0019178082191780822
"('rain', 'minecart')",0.00033858134416793635
"('minecart', 'ride')",0.0003399626041135475
"('ride', 'now')",0.0003390405153415833
"('now', 'sarah')",0.00032414910858995135
