LABEL,DATE_TIME,TEXT,PREPROCESSED_TEXT
0,Fri Jun 05 14:26:50 2009,About to get threaded and scared ,get thread scare
1,Thu May 14 10:13:55 2009,@awaisnaseer I like Shezan Mangooo too!!! I had one yesterday ,awaisna like sherman manhood one yesterday
1,Fri Jun 05 21:02:20 2009,worked on my car after work. showering then going to bed. sooooooooooo tired. sparrow signing out  &lt;Cowboy Up&gt;,work car work shower go bed sooooooooooo tire sparrow sign cowboy 
1,Sun Jun 14 22:25:52 2009,"@Marama Actually we start this afternoon!  I will try to have something by Wed. It will be a slow process of collecting, many on vac.",mamma actual start afternoon try cometh wed slow process collect man sac
1,Sun May 31 00:42:12 2009,@gfalcone601 Aww Gi.don't worry.we'll vote for you non-stop coz we love you so much ,gfalcone601 www giddy worry vote non-stop co love much
1,Sun May 17 03:26:30 2009,@mrstessyman What ever you do have a good day. I love knitpicks ,mrstessyman ever good day love knitpick
1,Tue Jun 16 04:39:49 2009,"@GetMeVideo Sorry, not my forte,  Ask me about #trading, #scalping the dax and I can answer ",getmevideo sorry fort ask trade scalp day answer
1,Sun May 03 07:20:15 2009,"Getting ready for church and bummed I cannot watch Rafa whoop Djokovic LIVE, I'll settle for DVR I suppose ",get ready church watch raft djokov live settle dr support
1,Fri May 22 03:11:33 2009,Up early tomorrow. Last open home. Goodnight ,early tomorrow last open home goodnight
0,Wed Jun 17 09:18:19 2009,Needs to shake this gloomy feeling!!    Maybe it's the rain???,need shake gloomy feel may rain
0,Mon Jun 22 13:51:56 2009,Minecart ride now. Sarah's still too afraid to ride anything fun with me. ,minecart ride sarah still afraid ride fun 
1,Fri May 22 03:27:18 2009,@tb78 Cheers for follow! ,tb78 cheer follow
0,Fri May 22 00:37:02 2009,@sokendrakouture yea alone ,sokendrakoutur yea along
1,Mon Jun 15 00:04:06 2009,Good morning! We are blessed with another day to share our light and love with others! ,good bless day share light love 
1,Sun Apr 19 10:25:32 2009,@RealDeal32 NO! ,realdeal32 
1,Sat Apr 18 14:29:38 2009,"@yoginifoodie WEll, thanks, lol- want some?  ",yoginifoodi well thank old want 
1,Sun May 31 15:03:49 2009,@mileycyrus i'll play against you and pwn you. yeeee. btw i voted for you ,mileycyru play geese bow vote 
1,Sat May 30 20:40:57 2009,just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night!!!  nothing like some sis time!!! ,got hot tub .... go get move ice cream mt si call night like si time
0,Thu May 21 23:50:48 2009,@flyingbolt  Not as good without you! ,flyingbolt good without 
0,Mon Apr 20 05:54:03 2009,"LOL HELP ME, I'm obsessed with Hannah Montana ",help abscess hannah montana
0,Wed Jun 24 21:57:44 2009,I hate when people have to move away from me ,hate people move away 
0,Sat Jun 20 10:30:52 2009,http://bit.ly/AEbs3   I can only be sad.  #iranelection,http //bit.ly/aebs3 sad iranelect
1,Wed Jun 03 02:49:07 2009,@SCTunstall woah.  I'm glad I cut and ran after two West Wing episodes ,sctunstal noah glad cut ran two west wing episode
0,Sun May 31 18:36:38 2009,@digitallearnin Heppell's opening sentences describe how I see NZ schools developing under the current govt  ...,digitallearnin happen open sentence describe see school develop current got ...
1,Sun May 17 11:22:44 2009,@IHauntWizards See it! Its amazing ,ihauntwizard see may
0,Fri Jun 19 03:56:13 2009,"@Luke Oh Luke  , why don't you answer me? pleease try it . Love your music ! Hear it the whole day, really !",luke oh luke answer plea try love music hear whole day really
1,Sun May 31 12:56:37 2009,getting ready ,get ready
0,Sun May 03 07:03:20 2009,@buckhollywood I Cant Watch That i'm in the UK  Can you tell me what its about? Please x,buckhollywood watch tell plea x
0,Mon Jun 15 07:31:50 2009,I wont forget today .... ,wont forget today ....
1,Sun May 17 23:50:10 2009,"@soycamo Right then, now that weï¿½re on the same page  Write in Ruby + Cocoa?",soycamo right weï¿½r page write ruby cocoa
1,Mon Jun 15 21:51:12 2009,@Liverpool_TX lol.. okay if I have your permission I'll try.. (will give you credit)  ,liverpool_tx okay permits try give credit
0,Mon Jun 01 04:39:58 2009,@alix_says I'm going to miss freshman year... ,alix_say go miss frenchman year ...
1,Sun May 31 04:09:06 2009,@domkoenig nice pic - like your shirt! ,domkoenig nice pick like shirt
